project,source,long,lat,date,subset,depth,temp,chltot,chl0.2,chl2,chl20
AMT 2,,-46.63,-33.38,121,OLIGO,-7,20.49,0.21318,0.16993,0.03296,0.0103
AMT 2,,-46.63,-33.38,121,OLIGO,-50,20.25,0.41915,0.29866,0.10299,0.01751
AMT 2,,-46.63,-33.38,121,OLIGO,-70,19.74,0.19979,0.13388,0.0381,0.02781
AMT 2,,-46.63,-33.38,121,OLIGO,-90,18.79,0.16478,0.14006,0.01545,0.00927
AMT 2,,-43.42,-30.3,122,OLIGO,-7,23.29,0.14727,0.09372,0.03399,0.01957
AMT 2,,-43.42,-30.3,122,OLIGO,-40,23.29,0.16787,0.1071,0.04737,0.01339
AMT 2,,-43.42,-30.3,122,OLIGO,-60,23.28,0.16581,0.10504,0.04531,0.01545
AMT 2,,-43.42,-30.3,122,OLIGO,-90,18.96,0.31307,0.24716,0.04428,0.02163
AMT 2,,-43.42,-30.3,122,OLIGO,-110,18.25,0.3141,0.22657,0.04737,0.04016
AMT 2,,-43.42,-30.3,122,OLIGO,-120,17.83,0.24716,0.20185,0.03501,0.0103
AMT 2,,-40.71,-27.61,123,OLIGO,-7,24.55,0.28115,0.19567,0.05252,0.03296
AMT 2,,-40.71,-27.61,123,OLIGO,-50,24.56,0.23172,0.18022,0.03399,0.01751
AMT 2,,-40.71,-27.61,123,OLIGO,-80,22.15,0.38207,0.31925,0.04634,0.01648
AMT 2,,-40.71,-27.61,123,OLIGO,-100,21.27,0.26055,0.20597,0.03399,0.0206
AMT 2,,-37.87,-24.35,124,OLIGO,-7,25.19,0.19979,0.13697,0.05973,0.00309
AMT 2,,-37.87,-24.35,124,OLIGO,-30,25.2,0.22863,0.15448,0.04325,0.0309
AMT 2,,-37.87,-24.35,124,OLIGO,-70,24.89,0.35221,0.27806,0.06488,0.00927
AMT 2,,-37.87,-24.35,124,OLIGO,-100,22.42,0.29763,0.22657,0.05664,0.01442
AMT 2,,-37.87,-24.35,124,OLIGO,-120,21.6,0.19567,0.16478,0.02884,0.00206
AMT 2,,-35.52,-19.9,125,OLIGO,-7,27.35,0.18537,0.14418,0.01854,0.02266
AMT 2,,-35.52,-19.9,125,OLIGO,-50,27.36,0.1864,0.11843,0.0381,0.02987
AMT 2,,-35.52,-19.9,125,OLIGO,-80,25.39,0.63542,0.47579,0.15036,0.00927
AMT 2,,-35.52,-19.9,125,OLIGO,-100,23.5,0.44695,0.38619,0.05046,0.0103
AMT 2,,-35.52,-19.9,125,OLIGO,-150,19.76,0.12976,0.09681,0.01751,0.01545
AMT 2,,-33.31,-15.16,126,OLIGO,-7,28.15,0.05149,0.02987,0.01133,0.0103
AMT 2,,-33.31,-15.16,126,OLIGO,-60,28.12,0.05664,0.03913,0.01545,0.00206
AMT 2,,-33.31,-15.16,126,OLIGO,-100,24.55,0.14315,0.09887,0.0381,0.00618
AMT 2,,-33.31,-15.16,126,OLIGO,-150,23.29,0.26776,0.25746,0.00515,0.00515
AMT 2,,-33.31,-15.16,126,OLIGO,-170,22.78,0.18331,0.16478,0.00309,0.01545
AMT 2,,-31.46,-11.25,127,OLIGO,-7,28.49,0.07415,0.04737,0.02163,0.00515
AMT 2,,-31.46,-11.25,127,OLIGO,-70,26.41,0.15448,0.11225,0.0309,0.01133
AMT 2,,-31.46,-11.25,127,OLIGO,-90,24.89,0.1761,0.12049,0.04016,0.01545
AMT 2,,-31.46,-11.25,127,OLIGO,-130,22.84,0.26158,0.22657,0.02678,0.00824
AMT 2,,-31.46,-11.25,127,OLIGO,-170,18.9,0.14521,0.12358,0.01339,0.00824
AMT 2,,-29.76,-7.48,128,ECUAT,-7,28.6,0.07209,0.05458,0.01339,0.00412
AMT 2,,-29.76,-7.48,128,ECUAT,-70,26.54,0.18022,0.13285,0.04428,0.00309
AMT 2,,-29.76,-7.48,128,ECUAT,-100,23.16,0.47064,0.40164,0.06179,0.00721
AMT 2,,-29.76,-7.48,128,ECUAT,-120,21.02,0.26261,0.22863,0.02266,0.01133
AMT 2,,-28.21,-3.91,129,ECUAT,-7,28.38,0.11946,0.09372,0.02266,0.00309
AMT 2,,-28.21,-3.91,129,ECUAT,-30,27.13,0.1967,0.15036,0.04222,0.00412
AMT 2,,-28.21,-3.91,129,ECUAT,-60,21.81,0.58804,0.46652,0.11431,0.00721
AMT 2,,-28.21,-3.91,129,ECUAT,-80,16.37,0.35633,0.29042,0.05767,0.00824
AMT 2,,-28.21,-3.91,129,ECUAT,-100,13.96,0.18949,0.15448,0.0309,0.00412
AMT 2,,-26.4,-0.18,130,ECUAT,-7,28.47,0.12049,0.08754,0.02781,0.00515
AMT 2,,-26.4,-0.18,130,ECUAT,-40,26.68,0.27291,0.21318,0.05149,0.00824
AMT 2,,-26.4,-0.18,130,ECUAT,-70,22.22,0.65601,0.52522,0.1174,0.01339
AMT 2,,-26.4,-0.18,130,ECUAT,-80,20.36,0.23172,0.15448,0.06694,0.0103
AMT 2,,-26.4,-0.18,130,ECUAT,-120,15,0.11637,0.08857,0.0206,0.00721
AMT 2,,-24.8,3.4,131,ECUAT,-7,28.64,0.25746,0.14315,0.03193,0.08239
AMT 2,,-24.8,3.4,131,ECUAT,-40,25.5,0.30278,0.24716,0.05046,0.00515
AMT 2,,-24.8,3.4,131,ECUAT,-60,18.1,0.61791,0.54376,0.06385,0.0103
AMT 2,,-24.8,3.4,131,ECUAT,-80,16.08,0.26982,0.20597,0.05561,0.00824
AMT 2,,-24.8,3.4,131,ECUAT,-100,15.52,0.11637,0.09578,0.01751,0.00309
AMT 2,,-22.94,7.53,132,ECUAT,-7,26.77,0.19361,0.13594,0.04737,0.0103
AMT 2,,-22.94,7.53,132,ECUAT,-30,26.48,0.32131,0.22142,0.08548,0.01442
AMT 2,,-22.94,7.53,132,ECUAT,-50,20.06,0.66837,0.45107,0.16581,0.05149
AMT 2,,-22.94,7.53,132,ECUAT,-70,16.76,0.38825,0.13182,0.10607,0.15036
AMT 2,,-22.94,7.53,132,ECUAT,-100,14.89,0.32131,0.29351,0.0206,0.00721
AMT 2,,-21.05,11.73,133,OLIGO,-7,26.13,0.25952,0.19052,0.05355,0.01545
AMT 2,,-21.05,11.73,133,OLIGO,-20,26.09,0.30175,0.21833,0.06694,0.01648
AMT 2,,-21.05,11.73,133,OLIGO,-60,15.49,0.14109,0.09475,0.02575,0.0206
AMT 2,,-21.05,11.73,133,OLIGO,-80,14.53,0.0484,0.01545,0.0206,0.01236
AMT 2,,-21.47,21.75,135,OLIGO,-7,21.84,0.09887,0.05767,0.03399,0.00721
AMT 2,,-21.47,21.75,135,OLIGO,-30,21.82,0.10916,0.06179,0.04222,0.00515
AMT 2,,-21.47,21.75,135,OLIGO,-70,20.47,0.31101,0.24716,0.05458,0.00927
AMT 2,,-21.47,21.75,135,OLIGO,-100,19.97,0.34294,0.28424,0.05458,0.00412
AMT 2,,-21.8,26.53,136,OLIGO,-7,21.35,0.1174,0.06488,0.03399,0.01854
AMT 2,,-21.8,26.53,136,OLIGO,-50,21.28,0.11431,0.07415,0.02781,0.01236
AMT 2,,-21.8,26.53,136,OLIGO,-70,20.01,0.19876,0.14933,0.04531,0.00412
AMT 2,,-21.8,26.53,136,OLIGO,-90,19.56,0.30072,0.22657,0.06488,0.00927
AMT 2,,-21.8,26.53,136,OLIGO,-120,19.17,0.17404,0.14418,0.02266,0.00721
AMT 2,,-21.27,30.92,137,OLIGO,-7,19.09,0.09681,0.069,0.0206,0.00721
AMT 2,,-21.27,30.92,137,OLIGO,-60,18.94,0.13491,0.09063,0.03707,0.00721
AMT 2,,-21.27,30.92,137,OLIGO,-80,17.86,0.50566,0.34191,0.13388,0.02987
AMT 2,,-21.27,30.92,137,OLIGO,-100,17.78,0.38928,0.30896,0.0587,0.02163
AMT 2,,-21.27,30.92,137,OLIGO,-120,17.59,0.20494,0.13903,0.05046,0.01545
AMT 2,,-14.06,46.48,141,TEMP,-7,12.38,0.36869,0.04119,0.30484,0.02266
AMT 2,,-14.06,46.48,141,TEMP,-20,12.37,0.42224,0.09269,0.28836,0.04119
AMT 2,,-14.06,46.48,141,TEMP,-30,12.35,0.32131,0.06179,0.24716,0.01236
AMT 2,,-14.06,46.48,141,TEMP,-50,12.3,0.28527,0.03913,0.22554,0.0206
AMT 2,,-14.06,46.48,141,TEMP,-80,11.9,0.06385,0.0206,0.03913,0.00412
AMT 2,,-8.1,48.75,142,TEMP,-7,11.6,1.74766,0.39855,0.29866,1.05045
